english	yoruba
In April 2017, Novaya Gazeta reported that the authorities of Chechnya, a troubled Muslim republic in the south of Russia ruled by a former warlord Ramzan Kadyrov, was waging a brutal campaign of repressions against its LGBT population.	Nínú oṣù Igbe 2017, Novaya Gazeta jábọ̀ pé àwọn aláṣẹ ní Chechnya, ti ìlú oníjọba Ìmọ́lẹ̀ tí ó ń rí ìdààmú jù ní gúúsù Russia tí ajagun fẹ̀yìntì Ramzan Kadyrov, ń ṣe olóríi rẹ̀, ń ṣe ìpolongo tí ó rorò tí ó ń tako ìtẹ̀mọ́lẹ̀ àwọn ènìyàn tí í ṣe LGBT tí ó ń gbé nínúu rẹ̀.
"Recent reports said the ""purge"" has been intensifying, with at least two victims dead and dozens held in illegal detention."	"Ìròyìn tí ó jáde ní àìpẹ́ sọ pé ""ìfọ̀mọ́ "" náà le gidi gan-an ni, pẹ̀lú ikú èèyàn méjì ó kéré tán àti ogunlọ́gọ̀ àwọn tí ó wà ní àtìmọ́lé tí ó lòdì sí òfin."
#FreeAmade: Journalist arrested and tortured after reporting on violence in northern Mozambique	#FreeAmade: Akọ̀ròyìn tí a mú tí a sì dá lóró lẹ́yìn tí ó kọ ìròyìn lórí ìwà jàgídí jàgan tí ó ń ṣẹlẹ̀ ní Àríwá Mozambique
Survivors who lost relatives and houses rest outside following the June 5 attack in the village of Naunde in Cabo Delgado, Mozambique.	Àwọn ẹni-orí-kó-yọ tí wọ́n pàdánù ẹbí àti ilé ń sinmi níta gbangba lẹ́yìn ìkọlù ọjọ́ 5 oṣù Òkúdù ní abúlé Naunde ní Cabo Delgado nílùú Mozambique.
Photo by Borges Nhamire, used with permission.	Àwòrán láti ọwọ́ Borges Nhamira pẹ̀lú àṣẹ ìlò.
Mozambican journalist Amade Abubacar was arrested on January 5, while reporting on a trend of violent attacks on small villages in Mozambique's province of Cabo Delgado.	Wọ́n mú akọ̀ròyìn Mozambique kan ní ọjọ́ 5 oṣù Ṣẹẹrẹ níbi tí ó ti ń jábọ̀ ìròyìn nípa ìkọlù tí ó ń dé bá àwọn abúlé kéréje ní ìgbèríko Cabo Delgado ní Mozambique.
Located in northern Mozambique, Cabo Delgado is rich with natural resources, such as ruby, charcoal and natural gas, found in the Rovuma Basin.	Cabo Delgado wà ní àríwá orílè-èdè Mozambique, ó kún fún àwọn ohun àlùmọ́nì bí i òkúta iyebíye, èédú àti afẹ́fẹ́ gáàsì tí wọ́n rí ní Rovuma, ilẹ tí omí yí ká.
Some observers say the group coordinating the attacks intends to begin trafficking these resources.	Àwọn olùkíyèsí sọ pé ẹgbẹ́ tí ó ń darí ìkọlù yìí ní i lọ́kàn láti máa jí àwọn ohun àlùmọ́nì yìí kó.
Since October 2017, multiple attacks have been carried out in different districts of Cabo Delgado by what appears to be the same rogue group.	Láti oṣù Ọ̀wàrà 2017, àìmọye ìkọlù ni ó ti wáyé ní oríṣiríṣìí ìgbèríko ní Cabo Delgado láti ọwọ́ àwọn ẹgbẹ́ jàndùkú kan náà.
Many media have reported on the attacks, but state officials have been unwilling to comment on or confirm evidence in these cases.	Ọ̀pọ̀lọpọ̀ àwọn iléeṣẹ́ ìròyìn ni wọ́n ti jábọ̀ lórí àwọn ìkọlù yìí ṣùgbọ́n kò tilẹ̀ wu àwọn ìjọba láti sọ̀rọ̀ lé e tàbí kí wọ́n fi ìdí àrídájú ẹ̀rí múlẹ̀ nínú àwọn ọ̀rọ̀ yìí.
In 2018, more than one hundred people were prosecuted together in relation to these crimes. Their trial is expected to end this year.	Ní 2018, èèyàn tó lé lọ́gọ́rùn-ún ni wọ́n bá ṣẹjọ́ lórí àwọn ọ̀ràn yìí. Ó yẹ kí ẹjọ́ọ wọn ó parí lọ́dún yìí.
#FreeAmade: campaign to release Mozambican journalist	#FreeAmade: Ìpolongo láti gba Akọ̀ròyìn Mozambique sílẹ̀
Amade Aoubacar works with the Mozambican Social Communication Institute and as a journalist with news site Zitamar and the local radio station, Nacedje.	Amade Abubacar ń ṣiṣẹ́ pẹ̀lú Mozambican Social Communication Institute, ó sì ń ṣiṣẹ́ gẹ́gẹ́ bí akọ̀ròyìn pẹ̀lú ibùdó ìròyìn orí ayélujára Zitamar àti iléeṣẹ́ ìgbóhùnsáfẹ́fẹ́ ìbílẹ̀ Nacedje.
The journalist was arrested and detained by Mozambican federal police on January 5, while photographing survivors of an attack in Cabo Delgado.	Àwọn ọlọ́pàá ìjọba àpapọ̀ Mozambique mú akọ̀ròyìn náà ní ọjọ́ 5 níbi tí ó ti ń ya àwòrán àwọn ẹni-orí-kó-yọ nínú ìkọlù kan ní Cabo Delgado, wọ́n sì tì í mọ́lé.
Amade was then taken to a military quarter of the Defense Forces of Mozambique in the district of Mueda, despite not being a member of the armed forces.	Lẹ́yìn náà, wọ́n mú Amade lọ sí ibùdó àwọn ológun Mozambique ní ìgbèríko Mueda láìjẹ́ ọmọ ẹgbẹ́ ológun.
After a few weeks, he was transferred to a civilian prison to legalize his detention in Pemba, capital of Cabo Delgado .	Lẹ́yìn ọ̀sẹ̀ díẹ̀, wọ́n gbé e lọ sí ẹ̀wọ̀n gbogboògbò láti mú kí àtìmọ́lé rẹ̀ bá òfin mu ní Pemba, olú ìlú Cabo Delgado.
After he arrived at the civilian prison, Amade contacted the Mozambican Order of Lawyers and reported having experienced torture at the hands of Mozambican armed forces, who he says beat him and deprived him of food.	Lẹ́yìn tí ó dé ẹ̀wọ̀n gbogboògbò, Amade pe ẹgbẹ́ àwọn agbẹjọ́rò Mozambique tí ó sì sọ bí ó ṣe ti jìyà tó lọ́wọ́ àwọn ológun Mozambique tí ó ní wọ́n na òun tí wọ́n sì fi ebi pa òun.
Many individuals and media freedom groups have spoken out in his Abubacar's defense, saying that his arrest and detention have threatened the exercise of free expression.	Ọ̀pọ̀lọpọ̀ èèyàn àti ẹgbẹ́ ajàfómìnira ti sọ̀rọ̀ síta láti gbèjà Abubacar tí wọ́n sọ pé mímú tí wọ́n mú un àti àtìmọ́lée rẹ̀ ti dẹ́rùba òmìnira ẹni láti sọ̀rọ̀.
The Media Institute of Southern Africa, which monitors media rights and activities in the region, spoke out strongly against Amade's detention:	Ìfilọ́lẹ̀ Agbéròyìn Sáfẹ́fẹ́ ti Gúúsù Ilẹ̀ Adúláwò, tí ó ń ṣe àbójútó ẹ̀tọ́ agbéròyìn sáfẹ́fẹ́ àti iṣẹ́ wọn ní agbègbè náà sọ̀rọ̀ tako àtìmọ́lé Amade:
Abubacar’s prolonged detention by the military is a violation of his rights as well as his arrest under unconfirmed charges.	Títì tí àwọn ológun ti Abubacar mọ́lé jẹ́ ìpalára fún ẹ̀tọ́ rẹ pẹ̀lú mímú tí wọ́n mú un láìsí ìdí tí wọ́n fi ìdí ẹ múlẹ̀.
The Mozambican government is setting a bad precedent in the violation of free expression and access to information in the region.	Ìjọba Mozambique ti ń ṣe àfihàn ìṣáájú burúkú nípa ṣíṣe ìdíwọ́ ẹ̀tọ́ ẹni láti sọ̀rọ̀ àti rírí ọ̀nà gbọ́ ìròyìn ní agbègbè náà.
Amnesty International also released a statement:	Amnesty International náà sọ̀rọ̀:
Translation Original Quote	Ìtúmọ̀ Ìtúnwí-ọ̀rọ̀ Ọlọ́rọ̀ gan-an
Amade Abubacar is a respected journalist who was recording testimony from people who fled deadly attacks in Cabo Delgado when he was arrested by police.	Amade Abubacar Amade Abubacar jẹ́ gbajúgbajà akọ̀ròyìn tí ó ń gba ẹ̀rí sílẹ̀ lẹ́nu àwọn ẹni tí wọ́n bọ́ nínú ìkọlù ní Cabo Delgado nígbà tí àwọn ọlọ́pàá mú un.
This is the latest demonstration of contempt coming from Mozambican authorities and directed at freedom of expression and freedom of the press...[authorities] view journalists as a threat and [thus they] are treated as criminals.	Èyí jẹ́ àfihàn àìkàsí àwọn aláṣẹ Mozambique sí òmìnira láti sọ̀rọ̀ àti òmìnira àwọn oníròyìn... [àwọn aláṣẹ] rí akọ̀ròyìn gẹ́gẹ́ bí alátakò wọn [fún ìdí èyí] wọ́n ń ṣe wọ́n bí ọ̀daràn.
The campaign has also spread on Twitter, with the creation of hashtags like #FreeAmade to advocate for the liberation of Amade.	Ìpolongo náà ti tàn lórí Twitter, pẹ̀lú ìṣẹ̀dá àwọn àsopọ̀ ọ̀rọ̀ bí i #FreeAmade láti jà fún ìdásílẹ̀ Amade.
For the first time in Brazil's history, there is an indigenous woman in the National Congress	Fún ìgbà àkọ́kọ́ ní orílẹ̀-èdèe Brazil, ọmọ ìbílẹ̀ lóbìnrin di ọmọ ìgbìmọ̀ ìjọba
Joenia was the first indigenous woman to have a Law degree in Brazil.	Joenia ni ọmọ ìbílẹ̀ lóbìnrin àkọ́kọ́ tí ó kẹ́kọ̀ọ́ gboyè nínú ẹ̀kọ́ ìmọ̀ òfin ní Brazil.
Image: Screenshot of video by United Nations Web TV.	Àwòrán: Àwòrán tí wọ́n yà nínú fídíò kan láti ọwọ́ọ United Nations Web TV.
In 1997, Joenia Wapichana became the first indigenous woman in Brazil to obtain a law degree.	Ní ọdún-un 1997, Joenia Wapichana di obìnrin àkọ́kọ́ tí yóò gboyè nínú ẹ̀kọ́ ìmọ̀ òfin ní Brazil.
Eleven years later, she was the first indigenous person ever to defend a case in the Supreme Court.	Lẹ́yìn ọdún kọ́kànlá, òun ni ọmọ ìbílẹ̀ àkọ́kọ́ tí ó gbẹjọ́rò ní ilé-ẹjọ́ gíga jùlọ.
And in October 2018 Joenia earned yet another distinction, becoming the first indigenous woman elected to the National Congress.	Ní oṣù Ọ̀wàrà ọdún-un 2018, Joenia tún gbajúmọ̀ sí i nígbà tí ó di ọmọ ìbílẹ̀ lóbìnrin àkọ́kọ́ tí wọn yóò yàn sípò nínú ìgbìmọ̀ ìjọba.
Her 8,491 votes elected her to one of the eight seats destined to her home state, Roraima.	Ìbòo 8,491 tí wọ́n dì fún un ni wọ́n fi yàn án sípò kan nínúu mẹ́jọ tí ó tọ́ sí ìpínlẹ̀ Roraima tí ó ti wá.
The only time Brazil had an indigenous congressman was in 1986 — Mario Juruna, of Xavante ethnicity, was elected in 1983.	Ìgbà kan ṣoṣo tí Brazil ní ọmọ ìbílẹ̀ gẹ́gẹ́ bí ọkàn lára àwọn ìgbìmọ̀ ìjọba ni ọdún-un 1986 — Mario Juruna, tí ó wá láti ẹ̀yà Xavante, wọ́n yàn án sípò ní ọdún-un 1983.
Born in a Wapichana tribe, Joenia moved to Boa Vista, Roraima's state capital, when she was eight years old.	A bí Joana sínú ẹ̀yà Wapichana, ó lọ sí Boa Vista tí ó jẹ́ olú-ìlú Roraima nígbà tí ó wà ní ọmọ ọdún mẹ́jọ.
She juggled her law degree with a job at an accountant’s office and, she said in a recent interview, graduated a year earlier than expected, fifth in her class, and amongst the children of Roraima's oligarchy.	Ó ń kọ́ ẹ̀kọ́ọ rẹ̀ nínú ìmọ̀ òfin bí ó ṣe ń ṣiṣẹ́ ní ọ́fíìsì àwọn oníṣirò kan, ó sì sọ ọ́ nínú  ìfọ̀rọ̀wánilẹ́nuwò kan láìpẹ́, pé òun ṣetán ní ilé-ẹ̀kọ́ ní ọdún kan ṣáájú ìgbà tí ó yẹ kí òun ṣetán tí òun sì gbé ipò karùn-ún nínúu kíláàsìi rẹ̀ àti láàárín-in àwọn ọmọ ọlọ́lá ní Roraima.
In December 2018, already as an elected congresswoman, Joenia won a UN human rights prize for her outstanding achievement in promoting indigenous peoples’ rights.	Ní oṣù Ọ̀pẹ ọdún-un 2018, gẹ́gẹ́ bí ọmọ ẹgbẹ́ ìgbìmọ̀ tí wọ́n dìbò yàn, Joenia gba àmì ẹ̀yẹ ìdánimọ̀ UN fún ìjàfẹ́tọ̀ọ́ ẹ̀dá lórí àṣeyọrí tí ó ṣe nínú ìpolongo ẹ̀tọ́ àwọn ọmọ ìbílẹ̀.
The same recognition has been given to Nelson Mandela and Malala.	Wọ́n ti fi àmì-ẹ̀yẹ ìdánimọ̀ yìí kan náà fún Nelson Mandela àti Malala rí.
Joenia Wapichana defending an indigenous cause at the Supreme Court.	Joenia Wapichana níbi tí ó ti ń gbè lẹ́yìn ọ̀rọ̀ ìbílẹ̀ kan ní ilé-ẹjọ́ gíga jùlọ.
Image: Screenshot of YouTube video/Brazil's Supreme Court.	Àwòrán: Àwòrán tí wọ́n yà nínú fídíò YouTube ilé-ẹjọ́ gíga jùlọ ti Brazil.
Joênia made history in 2008 when she argued a case brought by five indigenous groups to have their land officially demarcated as an Indigenous Territory, a type of tenure that confers indigenous peoples inalienable rights over their traditional homelands.	Joênia ṣe àfikún ìtàn ní ọdún-un 2008 nígbà tí ó gba ẹjọ́ ẹgbẹ́ ìbílẹ̀ márùn-ún kan rò, pé kí wọn ya ilẹ̀ẹ wọn sọ́tọ̀ gẹ́gẹ́ bí ilẹ̀ abínibí, irú òfin tí yóò fún àwọn abínibí ilẹ̀ náà ní ẹ̀tọ́ láti pàṣẹ lórí àwọn ilẹ̀ ìlúu wọn.
The court ruled in favor of the indigenous groups, who now are permanent possessors of the largest Indigenous Territory in Brazil — the lands of Raposa Terra do Sol, located in the state of Roraima.	Ilé ẹjọ́ dá ẹjọ́ tí ó gbè lẹ́yìn àwọn ẹgbẹ́ ìbílẹ̀ náà tí wọ́n ti wá di òǹnilẹ̀ kánrin-kése fún àwọn ilẹ̀ abínibí tí ó tóbi jù ní Brazil — ilẹ̀ẹ Raposa Terra do Sol, tí ó wà ní ìpínlẹ̀ Roraima.
Meanwhile, Jair Bolsonaro, still a congressman at that time, insulted an indigenous activist who had attended a public hearing at the Chamber of Deputies about the Raposa Terra do Sol demarcation.	Bẹ́ẹ̀, Jair Bolsonaro tí ó jẹ́ ọmọ ẹgbẹ́ ìgbìmọ̀ ní àkókò náà ti fi ìwọ̀sí lọ ajàfẹ́tọ̀ọ́ ìbílẹ̀ kan tí ó wá sí ibi gbígbọ́ ìdájọ́ nípa ìyàsọ́tọ̀ Raposa Terra do Sol ní ìyẹ̀wù àwọn igbá-kejì.
"""You should go outside and eat grass to keep with your origins,"" Bolsonaro said on the occasion."	"Bolsonaro sọ̀rọ̀ báyìí ní ọjọ́ náà pé ""ó yẹ kí o jáde síta láti lọ jẹ koríko pẹ̀lú àwọn alálẹ̀ẹ yín""."
Shortly after his electoral victory in 2018, Bolsonaro brought up Raposa Terra do Sol again as an example of an indigenous territory whose economic potential should be exploited.	Kò pẹ́ lẹ́yìn tí ó jáwé olúborí nínú ìdìbò 2018, Bolsonaro tún mú ọ̀rọ̀ Raposa Terra do Sol bọnu gẹ́gẹ́ bí àpẹẹrẹ agbègbè ìbílẹ̀ tí ó yẹ kí àwọn jẹ àǹfààní ètò ọrọ̀-ajée rẹ̀.
He told reporters:	Ó sọ fún àwọn akọ̀ròyìn pé:
Translation Original Quote	Ìtúmọ̀ Ìtúnwí-ọ̀rọ̀ Ọlọ́rọ̀ gan-an
It’s the richest area in the world. You can exploit it in a rational manner.	Ó jẹ́ agbègbè kan tí ó lọ́rọ̀ jù ní àgbáyé. Èèyàn lè jẹ àǹfààní rẹ̀ lọ́nà tó mọ́gbọ́n dání.
And, from the indigenous’ side, giving them royalties and integrating them to society.	Nípa ti àwọn ọmọ bíbí ibẹ̀, à á fún wọn ní ohun tí ó tọ́ sí wọn, à á sì dà wọ́n pọ̀ mọ́ àwùjọ.
Ten years ago, with red painting on her face, in the tradition of her ethnicity, Joenia mixed Portuguese and her native language to remind the Justices that around three million US dollars circulated within those lands every year without that counting towards the Brazil's economy.	Lọ́dún mẹ́wàá sẹ́yìn, pẹ̀lú ọ̀dà pupa lójúu rẹ̀, ní ìbámu pẹ̀lú àṣà ẹ̀yàa rẹ̀ ni Joenia lo èdè Portuguese àti ẹ̀ka-èdèe rẹ̀ láti rán àwọn adájọ́ létí pé bíi mílíọ̀nù dọ́là US lọ́nà mẹ́ta ni ó ń kárí àwọn ilẹ̀ wọ̀nyí láìsí pé wọ́n kópa nínú ètò ọrọ̀-ajée Brazil.
"""We are slandered and discriminated inside our own land"", she said."	"Ó ní ""wọ́n ń sọ̀rọ̀ bà wá lórúkọ jẹ́, bẹ́ẹ̀ ni wọ́n ń ṣe ìyàtọ̀ọ̀tọ̀ ẹ̀yà pẹ̀lúu wa ní ilẹ̀ẹ wa""."
Image: The Institute for Inclusive Security, CC 2.0	Àwòrán: Àjọ tí ó ń rí sí ààbò gbogboògbò, CC 2.0
A formidable opponent	Alátakò tí kò ṣe é borí
While she prepared to take her congressional seat as an opponent of Bolsonaro’s government, she told reporters at Folha de São Paulo, a national newspaper:	Bí ó ṣe ń gbaradì láti gba ìjókòó rẹ̀ nínú ìgbìmọ̀ ìjọba gẹ́gẹ́ bí alátakò fún ìjọba Bolsonaro, ó sọ fún àwọn akọ̀ròyìn Folha de São Paulo, tí ó jẹ́ ilé iṣẹ́ oníwèé ìròyìn tó gbajúgbajà ní orílẹ̀-èdè pé:
Translation Original Quote	Ìtúmọ̀ Ìtúnwí-ọ̀rọ̀ Ọlọ́rọ̀ gan-an
Why does he [Bolsonaro] persecute indigenous people so much?	Kí ló dé tí ó [Bolsonaro] ṣe ń ṣe inúnibíni sí àwọn ọmọ ìbílẹ̀ tó báyìí?
What is the reason for such hate and appetite for retreat?	Kí ni ìdí fún ìkórìíra àti òǹgbẹ fún ìṣubúu wa?
We have tourism, traditional medicine, a vast biodiversity in the Amazon.	A ní ètò ìrìnàjò ìgbafẹ́, òògùn ìbílẹ̀ àti àwọn ohun mèremère tí ó pín yẹ́lẹyẹ̀lẹ káàkiri ilẹ̀ẹ wa.
We need to change this belief that we are a hindrance to development, that we are hurting A or B.	A nílò láti ṣe àyípadà ìgbàgbọ́ pé à ń ṣe ìdíwọ́ fún ìdàgbàsókè tàbí pé à ń ṣe ìpalára fún ẹnikẹ́ni.
We must become protagonists ourselves as well.	Àwa náà ní láti di aṣíwájú fún ara wa.
Hitting the ground running	Ìfẹsẹ̀múlẹ̀ tí ó ń lọ
Brazil's Congress took office in February 2019 and Joênia began her term as the leader of her party, Rede Sustentabilidade (or Sustainability Network in Portuguese), in the Chamber of Deputies, the federal legislature's lower house.	Ìgbìmọ̀ Brazil gba ipò ní oṣù Èrèlé 2019, Joênia sì bẹ̀rẹ̀ sáà rẹ̀ gẹ́gẹ́ bí olùdarí ẹgbẹ́ òṣèlú rẹ̀, Rede Sustentabilidade (tí ó túmọ̀ sí Ẹgbẹ́ Alágbèéró lédè Portuguese) ní ìyẹ̀wù àwọn igbá-kejì ti ilé ìgbìmọ̀ aṣòfin kékeré.
Rede was founded by former Environment Minister Marina Silva, who despite losing three consecutive presidential elections is a household name in Brazil's environmental activism.	Olùṣàkóso fún ètò àyíká tẹ́lẹ̀ rí Marina Silva, tí orúkọ rẹ̀ gbajúmọ̀ nínú ìjàfẹ́tọ̀ọ́ agbègbè ni ó dá Rede sílẹ̀ pẹ̀lú bí ó ti ṣe fìdírẹmi tó nínú ètò ìdìbò ààrẹ lẹ́ẹ̀mẹ́ta léraléra.
"Following the dam disaster in Brumadinho, a tragedy that killed over 160 people and destroyed all life at the Paraopeba River, Joenia presented her first bill proposal, which renders environmental crimes that seriously affect ecosystems, human health, and lives, ""heinous crimes"", a type of offense that incurs in more severe penalties."	"Lẹ́yìn àjálù ìdídò ní Brumadinho, tí ó pa àwọn èèyàn tí ó lé ní 160, tí ó sì mú ìbàjẹ́ bá gbogbo ayé tí ó wà ní odò Paraopeba, Joenia ṣe àgbékalẹ̀ àkọsílẹ̀ àbá òfin rẹ̀ àkọ́kọ́, tí ó ń ka àwọn ọ̀ràn tí ó ń ṣe ìpalára fún agbègbè àti ìlera pẹ̀lú ẹ̀mí àwọn èèyàn gẹ́gẹ́ bí ""ọ̀ràn ńlá"" tí ó ní ìjìyà tí ó pọ̀ nínú."
A day before taking office, the congresswoman told Folha de Boa Vista, a local newspaper from her home state, that the bill addresses private corporations’ carelessness with the environment:	Ní ó-ku-ọ̀la tí yóò gba ipò, arábìnrin inú ìgbìmọ̀ náà sọ fún Folha de Boa Vista, ilé-iṣẹ́ ìròyìn ìbílẹ̀ kan tí ó ti ìpínlẹ̀ẹ rẹ̀ wá pé àbá òfin náà ń dojúkọ ìwà àìbìkítà àwọn iléeṣẹ́ àdáni sí agbègbè:
Translation Original Quote	Ìtúmọ̀ Ìtúnwí-ọ̀rọ̀ Ọlọ́rọ̀ gan-an
We are concerned with the government's policies of weakening mechanisms that were created to protect a healthy environment, as foreseen in our Constitution, and the associated social impacts.	Ohun tí ó kàn wá ni ètò ìmúlò tí ìjọba fi ń ṣe àdínkù agbára àwọn àtòpọ̀ ẹ̀rọ tí a ṣẹ̀dá láti dáàbò bo àyíká tó ní ìlera, gẹ́gẹ́ bí a ti rí i nínú ìwé òfin àti àwọn ipa tí ó ń kó láwùjọ.
[Among those mechanisms], for instance, there is the environmental licensing process, [which helps curb] the lack of accountability by companies and the low power of control by the State.	Fún àpẹẹrẹ [lára àwọn àtòpọ̀ ẹ̀rọ yìí], a ní ètòo gbígba ìwé àṣẹ ní àwọn agbègbè yìí [tí ó ń bá wa dènà] àìlègbẹ̀rí àwọn iléeṣẹ́ jẹ́ àti àìtó agbára ìjọba láti kápáa wọn nínú ìpínlẹ̀ náà.
